SpecID,Subphylum
Spec374,Ascomycota
Spec375,Ascomycota
Spec376,Ascomycota
Spec377,Ascomycota
Spec378,Ascomycota
Spec379,Ascomycota
Spec380,Ascomycota
Spec381,Ascomycota
Spec382,Ascomycota
Spec383,Ascomycota
Spec384,Ascomycota
Spec385,Ascomycota
Spec347,Ascomycota
Spec386,Ascomycota
Spec387,Ascomycota
Spec388,Ascomycota
Spec389,Ascomycota
Spec390,Ascomycota
Spec391,Ascomycota
Spec392,Ascomycota
Spec393,Ascomycota
Spec394,Ascomycota
Spec395,Ascomycota
Spec396,Ascomycota
Spec397,Ascomycota
Spec398,Ascomycota
Spec399,Ascomycota
Spec400,Ascomycota
Spec401,Ascomycota
Spec402,Ascomycota
Spec403,Ascomycota
Spec404,Ascomycota
Spec405,Ascomycota
Spec406,Ascomycota
Spec407,Ascomycota
Spec221,Ascomycota
Spec408,Ascomycota
Spec409,Ascomycota
Spec410,Ascomycota
Spec411,Ascomycota
Spec412,Ascomycota
Spec413,Ascomycota
Spec414,Ascomycota
Spec415,Ascomycota
Spec416,Ascomycota
Spec417,Ascomycota
Spec418,Ascomycota
Spec419,Ascomycota
Spec420,Ascomycota
Spec421,Ascomycota
Spec422,Ascomycota
Spec423,Ascomycota
Spec404,Ascomycota
Spec424,Ascomycota
Spec425,Ascomycota
Spec426,Ascomycota
Spec427,Ascomycota
Spec428,Ascomycota
Spec429,Ascomycota
Spec430,Ascomycota
Spec431,Ascomycota
Spec432,Ascomycota
Spec433,Ascomycota
Spec434,Ascomycota
Spec435,Ascomycota
Spec436,Ascomycota
Spec437,Ascomycota
Spec438,Ascomycota
Spec439,Ascomycota
Spec440,Ascomycota
Spec441,NA
Spec442,Ascomycota
Spec443,Ascomycota
Spec444,Ascomycota
Spec445,Ascomycota
Spec446,Ascomycota
Spec447,Ascomycota
Spec448,Ascomycota
Spec449,Ascomycota
Spec450,Ascomycota
Spec451,Ascomycota
Spec452,Ascomycota
Spec453,Ascomycota
